Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity
47	amranal	19		amra	amt͡ʃnal	Regular	V	Inchoative	-nal	To be fortified, to grow strong.	Intransitive
48	amrabntel	1		amrabnt	erkel	Regular	V	E-Class	-el	To strengthen, to confirm.	Transitive
49	ampopel	1		ampop	erkel	Regular	V	E-Class	-el	To compress, to confine, to restrict, to contract.	Transitive
50	ampopvil	3	Passive	ampop	ad͡zilvil	Regular	V	Passive	-vil	To contract, to be compressed, to assemble, to become tighter.	Intransitive
51	ajlajlil	3	Basic	ajlajl	abril	Regular	V	I-Class	-il	To be altered, to be unnatured.	Intransitive
52	ajlantagel	1		ajlantag	erkel	Regular	V	E-Class	-el	To denature, to misrepresent, to pervert.	Transitive
53	ajlaseril	3	Basic	ajlaser	abril	Regular	V	I-Class	-il	To degenerate.	Intransitive
54	ajbanel	1		ajban	erkel	Regular	V	E-Class	-el	To scout, to baffle, to insult, to scoff, to banter, to joke, to mock, to deride, to despise.	Transitive
55	ajrel	1		ajr	erkel	Regular	V	E-Class	-el	To burn, to fire, kindle, to inflame, to scorch, to parch.	Transitive
56	ajril	3	Basic	ajr	abril	Regular	V	I-Class	-il	To burn, to be burnt.	Intransitive
57	ajt͡selel	1		ajt͡sel	erkel	Regular	V	E-Class	-el	To make a visit, to visit.	Transitive
58	anarkel	1		anark	erkel	Regular	V	E-Class	-el	To dishonour, to scorn, to contemn, to disparage, to offend.	Transitive
59	ankosnel	1		ankosn	erkel	Regular	V	E-Class	-el	To contempt, to scorn, to despise, to slight, to disregard.	Transitive
60	antamagt͡sil	3	Basic	antamagt͡s	abril	Regular	V	I-Class	-il	To associate, to combine with.	Intransitive
61	antamadel	1		antamad	erkel	Regular	V	E-Class	-el	To dismember, to divide.	Transitive
62	antratarnal	39		antratarn	antratarnal	Suppletive	V		-al	To reverberate, to reflect.	Transitive
63	aneanal	19		anea	amt͡ʃnal	Regular	V	Inchoative	-nal	To be destroyed, to come to nothing.	Intransitive
64	anteɣel	1		anteɣ	erkel	Regular	V	E-Class	-el	To braise.	Transitive
65	anid͡zel	1		anid͡z	erkel	Regular	V	E-Class	-el	To curse, to execrate.	Transitive
66	anhedanal	19		anheda	amt͡ʃnal	Regular	V	Inchoative	-nal	To disappear, to vanish.	Intransitive
67	anhedat͡snel	9	Basic	anheda	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To disappear.	Transitive
68	ant͡snaworel	1		ant͡snawor	erkel	Regular	V	E-Class	-el	To personity, to impersonate.	Transitive
69	ant͡srewel	1		ant͡srew	erkel	Regular	V	E-Class	-el	To rain, to pour down, to shower.	Intransitive
70	and͡ʒidel	1		and͡ʒid	erkel	Regular	V	E-Class	-el	To exterminate.	Transitive
71	and͡ʒrgil	3	Basic	and͡ʒrg	abril	Regular	V	I-Class	-il	To entangle oneself, to be embarrassed.	Intransitive
72	anmahanal	19		anmaha	amt͡ʃnal	Regular	V	Inchoative	-nal	To become immortalized.	Intransitive
73	anmahat͡snel	9	Basic	anmaha	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To immortalize, to eternize.	Transitive
74	anjajdanal	19		anjajda	amt͡ʃnal	Regular	V	Inchoative	-nal	To disappear, to vanish out of sight.	Intransitive
75	anjajdat͡snel	9	Basic	anjajda	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel		Transitive
76	anʃnt͡ʃanal	19		anʃnt͡ʃa	amt͡ʃnal	Regular	V	Inchoative	-nal	To expire, to die, to die by asphyxia.	Intransitive
77	anvanargel	1		anvanarg	erkel	Regular	V	E-Class	-el	To defame, to slander, to discredit.	Transitive
78	anvanel	1		anvan	erkel	Regular	V	E-Class	-el	To name, to call, to nominate.	Transitive
79	anbadvel	1		anbadu	erkel	Regular	V	E-Class	-el	To dishonour, to disgrace.	Transitive
80	ant͡ʃadel	1		ant͡ʃad	erkel	Regular	V	E-Class	-el	To detach, to separate, to cut off.	Transitive
81	ant͡ʃadvil	3	Passive	ant͡ʃad	ad͡zilvil	Regular	V	Passive	-vil		Intransitive
82	ansal	5		ans	aɣal	Regular	V	A-Class	-al	To hear, to listen, to obey to.	Transitive
83	andesel	1		andes	erkel	Regular	V	E-Class	-el	To neglect, to disregard, to pass over.	Transitive
84	ant͡sənel	9	Orthographic variant with schwa	an	ant͡sənel	Regular	V	Causative	-t͡sənel	To pass, to cross, to surpass, to transfer.	Transitive
85	ant͡snil	13		ant͡s	ant͡snil	Irregular	V		-nil	To pass, to pass away, to decay, to die, to fade.	Intransitive
86	anosranal	19		anosra	amt͡ʃnal	Regular	V	Inchoative	-nal	To rarefy, to become rarefied, to become thin.	Intransitive
87	aʃagerdel	1		aʃagerd	erkel	Regular	V	E-Class	-el		Transitive
88	aʃxadagt͡sil	3	Basic	aʃxadagt͡s	abril	Regular	V	I-Class	-il	To work together, to be a fellow-worker, to collaborate.	Intransitive
89	aʃxadil	3	Basic	aʃxad	abril	Regular	V	I-Class	-il	To work, to labour, to toil.	Intransitive
90	aʃxadt͡snel	9	Basic	aʃxad	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To employ, to keep in service, to fatigue.	Transitive
91	aʃxarel	1		aʃxar	erkel	Regular	V	E-Class	-el	To lament, to deplore, to pity.	Transitive
92	abazinel	1		abazin	erkel	Regular	V	E-Class	-el	To disarm, to unarm.	Transitive
93	abaganel	1		abagan	erkel	Regular	V	E-Class	-el	To infect, to corrupt, to spoil, to deflour; to deform, to profane, to adulterate, to pollute.	Transitive
94	abaganil	3	Basic	abagan	abril	Regular	V	I-Class	-il	To grow corrupt, to fester, to be spoiled.	Intransitive
95	abahovakrel	1		abahovakr	erkel	Regular	V	E-Class	-el	To insure, to assure, to secure.	Transitive
96	abahovakrvil	3	Passive	abahovakr	ad͡zilvil	Regular	V	Passive	-vil	To be insured.	Intransitive
97	abahovel	1		abahov	erkel	Regular	V	E-Class	-el	To make sure of, to guarantee, to secure.	Transitive
98	abaʃxarel	1		abaʃxar	erkel	Regular	V	E-Class	-el	To repent of, to do penance, to regret.	Both
99	abaseril	3	Basic	abaser	abril	Regular	V	I-Class	-il	To render degenerate, to debase, to spoil.	Intransitive
100	abasdanil	3	Basic	abasdan	abril	Regular	V	I-Class	-il	To take refuge, shelter.	Intransitive
101	abat͡sut͡sanel	11		abat͡sut͡s	usut͡sanel	Archaic	V		-anel	To prove, to demonstrate.	Transitive
102	abat͡sut͡sel	1		abat͡sut͡s	erkel	Regular	V	E-Class	-el		Transitive
103	abawinil	3	Basic	abawin	abril	Regular	V	I-Class	-il	To trust, to depend upon: to be protected, to rely.	Intransitive
104	abakinil	3	Basic	abakin	abril	Regular	V	I-Class	-il	To heal up, to recover.	Intransitive
105	abxdel	1		abxd	erkel	Regular	V	E-Class	-el	To dry salt-meat.	Transitive
106	abʃet͡snel	9	Basic	abʃe	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To astonish, to surprise, to enrapture.	Transitive
107	abʃil	3	Basic	abʃ	abril	Regular	V	I-Class	-il	To be surprised, to astonish, to be stupefied.	Intransitive
108	absbrel	1		absbr	erkel	Regular	V	E-Class	-el	To command, to order, to give order.	Transitive
109	absdampil	3	Basic	absdamp	abril	Regular	V	I-Class	-il	To mutiny, to rebel.	Intransitive
110	abdagel	1		abdag	erkel	Regular	V	E-Class	-el	To buffet, to slap in face.	Transitive
111	abret͡snel	9	Basic	abre	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To keep alive, to save.	Transitive
112	abril	3	Basic	abr	abril	Regular	V	I-Class	-il	To live, to be alive, to subsist.	Intransitive
113	at͡ʃagt͡sil	3	Basic	at͡ʃagt͡s	abril	Regular	V	I-Class	-il	To aid, to assist, to coalesce.	Intransitive
114	arant͡snanal	19		arant͡sna	amt͡ʃnal	Regular	V	Inchoative	-nal	To retire, to be alone, to withdraw.	Intransitive
115	arant͡snat͡snel	9	Basic	arant͡sna	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel		Transitive
116	arat͡ʃatrel	1		arat͡ʃatr	erkel	Regular	V	E-Class	-el	To propose, to purpose, to intend, to set before.	Transitive
117	arat͡ʃargel	1		arat͡ʃarg	erkel	Regular	V	E-Class	-el	To propose, to offer, to propound.	Transitive
135	arat͡ʃnortel	1		arat͡ʃnort	erkel	Regular	V	E-Class	-el		Transitive
118	arargel	1		ararg	erkel	Regular	V	E-Class	-el	To object, to oppose.	Transitive
119	arakel	1		arak	erkel	Regular	V	E-Class	-el	to send, to forward.	Transitive
120	arewankel	1		arewank	erkel	Regular	V	E-Class	-el	To rape, to kidnap, to carry away, to ravish.	Transitive
121	artel	1		art	erkel	Regular	V	E-Class	-el	To cause, to occasion, to produce, to engender.	Transitive
122	arinknel	1		arinkn	erkel	Regular	V	E-Class	-el		Transitive
123	argaxel	1		argax	erkel	Regular	V	E-Class	-el	To suspend, to hang up, to delay.	Transitive
124	arnel	41		ar	arnel	Irregular	V		-nel	To do, to make; to render, to take, to receive, to get, to buy.	Transitive
125	arnvil	3	Passive	arn	ad͡zilvil	Regular	V	Passive	-vil	To be offended, to take offence.	Intransitive
126	aroɣt͡ʃanal	19		aroɣt͡ʃa	amt͡ʃnal	Regular	V	Inchoative	-nal	To heal, to recover, to be cured.	Intransitive
127	aroɣt͡ʃat͡snel	9	Basic	aroɣt͡ʃa	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To heal, to cure, to remedy; to restore.	Transitive
128	aseɣakord͡zel	1		aseɣakord͡z	erkel	Regular	V	E-Class	-el		Transitive
129	asbadagel	1		asbadag	erkel	Regular	V	E-Class	-el	To invade, to run after, to pursue, to infest.	Transitive
130	asdid͡ʒanazrgel	1		asdid͡ʒanazrg	erkel	Regular	V	E-Class	-el	To reduce to the rank, to degrade.	Transitive
131	adel	1		ad	erkel	Regular	V	E-Class	-el	To hate, to detest, to loathe.	Transitive
132	advil	3	Passive	ad	ad͡zilvil	Regular	V	Passive	-vil	To be hated.	Intransitive
133	arad͡zel	1		arad͡z	erkel	Regular	V	E-Class	-el	To feed, to pasture, to graze.	Transitive
134	arad͡zil	3	Basic	arad͡z	abril	Regular	V	I-Class	-il	To feed, to graze.	Intransitive
136	aradaworel	1		aradawor	erkel	Regular	V	E-Class	-el	To stain, to blemish, to speck, to flaw, to tarnish, to deface, to distain.	Transitive
137	arpenal	19		arpe	amt͡ʃnal	Regular	V	Inchoative	-nal	To tope, to get drunk, to get tipsy.	Transitive
138	arpil	3	Basic	arp	abril	Regular	V	I-Class	-il		Intransitive
139	arkahadil	3	Basic	arkahad	abril	Regular	V	I-Class	-il		Transitive
140	arkasaworel	1		arkasawor	erkel	Regular	V	E-Class	-el	To fertilize, to fecundate.	Transitive
141	arkasaworvil	3	Passive	arkasawor	ad͡zilvil	Regular	V	Passive	-vil		Intransitive
142	arkelagel	1		arkelag	erkel	Regular	V	E-Class	-el		Transitive
143	arkelapagel	1		arkelapag	erkel	Regular	V	E-Class	-el	To interne, to confine.	Transitive
144	arkilel	1		arkil	erkel	Regular	V	E-Class	-el	To prevent, to oppose, to impede, to stop, to forbid.	Transitive
145	artaranal	19		artara	amt͡ʃnal	Regular	V	Inchoative	-nal	To become justified, to be righteous.	Intransitive
146	artarat͡snel	9	Basic	artara	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To justify, to excuse, to verify.	Transitive
147	artiwnaworel	1		artiwnawor	erkel	Regular	V	E-Class	-el	To effect, to realize.	Transitive
148	artugel	1		artug	erkel	Regular	V	E-Class	-el	To iron.	Transitive
149	artnnal	19		artn	amt͡ʃnal	Regular	V	Inchoative	-nal	To awake, to wake up.	Intransitive
150	artnt͡snel	9	Basic	artn	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To awaken, to awake, to rouse, to animate.	Transitive
151	arʒananal	19		arʒana	amt͡ʃnal	Regular	V	Inchoative	-nal	To merit, to become worthy.	Intransitive
152	arʒanat͡snel	9	Basic	arʒana	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To render worthy, meritorious.	Transitive
153	arʒezrgel	1		arʒezrg	erkel	Regular	V	E-Class	-el		Transitive
154	arʒel	1		arʒ	erkel	Regular	V	E-Class	-el	To cost, to worth, to be worth.	Intransitive
155	arʒeworel	1		arʒewor	erkel	Regular	V	E-Class	-el		Transitive
156	arʒekazrgel	1		arʒekazrg	erkel	Regular	V	E-Class	-el		Transitive
157	arʒekaworel	1		arʒekawor	erkel	Regular	V	E-Class	-el		Transitive
158	arianal	19		aria	amt͡ʃnal	Regular	V	Inchoative	-nal	To be courageous, to take courage.	Intransitive
159	ariwnel	1		ariwn	erkel	Regular	V	E-Class	-el	To bleed.	Transitive
160	ariwnil	3	Basic	ariwn	abril	Regular	V	I-Class	-il		Intransitive
161	ard͡zard͡zel	1		ard͡zard͡z	erkel	Regular	V	E-Class	-el	To revive, to stir up.	Transitive
162	ard͡znel	1		ard͡zn	erkel	Regular	V	E-Class	-el	To give a gloss to, to enamel.	Transitive
163	arhamarhel	1		arhamarh	erkel	Regular	V	E-Class	-el	To contemn, to despise, to deride, to scorn.	Transitive
164	art͡sakankel	1		art͡sakank	erkel	Regular	V	E-Class	-el	To echo.	Intransitive
165	art͡sagel	1		art͡sag	erkel	Regular	V	E-Class	-el	To untie, to loosen, to unbind, to free, to release, to let go, to discharge; to detach.	Transitive
166	art͡sanakrel	1		art͡sanakr	erkel	Regular	V	E-Class	-el	To inscribe, to enter, to enlist, to enroll, to write.	Transitive
167	armadanal	19		armada	amt͡ʃnal	Regular	V	Inchoative	-nal	To take root, to take hold, to grow.	Intransitive
168	arʃawel	1		arʃaw	erkel	Regular	V	E-Class	-el	To invade, to attack, to assault, to encroach.	Intransitive
169	ardaperel	37		ardaper	ardaperel	Irregular	V		-el	To speak, to utter, to pronounce.	Transitive
170	ardakd͡zel	1		ardakd͡z	erkel	Regular	V	E-Class	-el	To trace, to copy, to imitate closely.	Transitive
171	ardakrel	1		ardakr	erkel	Regular	V	E-Class	-el	To extract.	Transitive
172	ardatrel	1		ardatr	erkel	Regular	V	E-Class	-el	To produce, to bring forth.	Transitive
173	ardad͡zel	1		ardad͡z	erkel	Regular	V	E-Class	-el	To export.	Transitive
174	ardahanel	1		ardahan	erkel	Regular	V	E-Class	-el	To extract, to put out, to draw.	Transitive
175	ardaheɣul	7		ardaheɣ	ardaheɣul	Archaic	V		-ul 		Intransitive
176	ardajajdel	1		ardajajd	erkel	Regular	V	E-Class	-el	To express, to declare, to indicate.	Transitive
177	ardaʃnt͡ʃel	1		ardaʃnt͡ʃ	erkel	Regular	V	E-Class	-el	To transpire, to perspire, to exhale.	Intransitive
178	ardasanel	1		ardasan	erkel	Regular	V	E-Class	-el	To declare, to pronounce, to utter, to recite.	Transitive
179	ardasvel	1		ardasu	erkel	Regular	V	E-Class	-el	To cry, to weep, to shed tears, to lament.	Intransitive
180	ardadbel	1		ardadb	erkel	Regular	V	E-Class	-el	To reproduce, to reprint, to republish.	Transitive
181	ardat͡solat͡snel	9	Basic	ardat͡sola	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel		Transitive
182	ardaksel	1		ardaks	erkel	Regular	V	E-Class	-el	To expel, to put out, to drive out, to send away.	Transitive
183	ardoral	5		ardor	aɣal	Regular	V	A-Class	-al	To hasten.	Intransitive
184	ardonel	1		ardon	erkel	Regular	V	E-Class	-el	To authorise, to permit, to allow.	Transitive
185	awaɣel	1		awaɣ	erkel	Regular	V	E-Class	-el	To deplore, to regret, to bewail, to lament.	Transitive
186	awantel	1		awant	erkel	Regular	V	E-Class	-el	To deposit, to consign, to render, to transit.	Transitive
187	awarel	1		awar	erkel	Regular	V	E-Class	-el	To pillage, to plunder, to ransack.	Transitive
188	awardel	1		award	erkel	Regular	V	E-Class	-el	To finish, to complete, to end, to terminate.	Transitive
189	awardil	3	Basic	award	abril	Regular	V	I-Class	-il	To finish, to terminate, to conclude.	Intransitive
190	awelnal	19		awel	amt͡ʃnal	Regular	V	Inchoative	-nal	To augment, to increase.	Intransitive
191	awelt͡snel	9	Basic	awel	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To add, to augment, to join, to increase.	Transitive
192	awedel	1		awed	erkel	Regular	V	E-Class	-el	To announce good tidings.	Transitive
193	awerel	1		awer	erkel	Regular	V	E-Class	-el	To ravage, to ruin, to destroy, to desolate, to lay waste.	Transitive
194	awrel	1		awr	erkel	Regular	V	E-Class	-el	To efface, to cancel, to erase, to blot out.	Transitive
195	awrvil	3	Passive	awr	ad͡zilvil	Regular	V	Passive	-vil	To get obliterated, to be spoiled.	Intransitive
196	akat͡sel	1		akat͡s	erkel	Regular	V	E-Class	-el	To kick.	Intransitive
197	aksorel	1		aksor	erkel	Regular	V	E-Class	-el	To exile, to banish, to send away.	Transitive
198	aksorvil	3	Passive	aksor	ad͡zilvil	Regular	V	Passive	-vil		Intransitive
199	papaxel	2		papax	kaɣel	Regular	C	E-Class	-el	To palpitate, to throb, to flutter, to beat; to pant.	Intransitive
200	pazmanal	20		pazma	niharnal	Regular	C	Inchoative	-nal	To multiply, to augment, to abound, to overflow.	Intransitive
201	pazmabadgel	2		pazmabadg	kaɣel	Regular	C	E-Class	-el		Transitive
202	pazmat͡snel	10	Basic	pazma	modet͡snel	Regular	C	Causative	-t͡snel	To increase, to multiply, to augment.	Transitive
203	pazmil	4	Basic	pazm	xosil	Regular	C	I-Class	-il	To sit down, to sit.	Intransitive
204	paʒanortakrel	2		paʒanortakr	kaɣel	Regular	C	E-Class	-el	To subscribe for, to make joint-sharer.	Transitive
205	paʒanortakrvil	4	Passive	paʒanortakr	zzvil	Regular	C	Passive	-vil	To subscribe, to participate.	Intransitive
206	paʒnel	2		paʒn	kaɣel	Regular	C	E-Class	-el	To divide, to separate, to part, to distribute.	Transitive
207	paʒnvil	4	Passive	paʒn	zzvil	Regular	C	Passive	-vil	To divide, to be divided, to separate.	Intransitive
208	paxel	2		pax	kaɣel	Regular	C	E-Class	-el	To beat, to strike, to flap.	Transitive
209	paxil	4	Basic	pax	xosil	Regular	C	I-Class	-il	To strike one another, to flap, to be beaten.	Intransitive
210	paɣatrel	2		paɣatr	kaɣel	Regular	C	E-Class	-el	To compound, to combine, to compose.	Transitive
211	paɣtadel	2		paɣtad	kaɣel	Regular	C	E-Class	-el	To compare, to confront.	Transitive
212	paɣganal	20		paɣga	niharnal	Regular	C	Inchoative	-nal	To consist, to be composed.	Intransitive
213	paɣt͡sal	6		paɣt͡s	gartal	Regular	C	A-Class	-al	To long for, to wish for, to desire.	Transitive
214	pampasel	2		pampas	kaɣel	Regular	C	E-Class	-el	To slander, to backbite.	Intransitive
215	panatrel	2		panatr	kaɣel	Regular	C	E-Class	-el	To anathematize, to excommunicate.	Transitive
216	panal	42		pan	panal	Suppletive	C		-al	To open, to discover, to unveil, to disclose.	Transitive
217	panagil	4	Basic	panag	xosil	Regular	C	I-Class	-il	To encamp, to pitch the camp.	Intransitive
218	panat͡sewel	2		panat͡sew	kaɣel	Regular	C	E-Class	-el	To formularize.	Transitive
219	panavid͡ʒil	4	Basic	panavid͡ʒ	xosil	Regular	C	I-Class	-il		Intransitive
220	panet͡snel	10	Basic	pane	modet͡snel	Regular	C	Causative	-t͡snel	To make to work, to cause to act.	Transitive
221	panil	4	Basic	pan	xosil	Regular	C	I-Class	-il	To act, to work, to run.	Intransitive
222	pansargel	2		pansarg	kaɣel	Regular	C	E-Class	-el	To plot, to calumniate, to slander.	Intransitive
223	pandargel	2		pandarg	kaɣel	Regular	C	E-Class	-el	To imprison, to confine, to detain.	Transitive
224	paʃxel	2		paʃx	kaɣel	Regular	C	E-Class	-el	To divide, to distribute, to share, to dispense.	Transitive
225	parat͡ʃel	2		parat͡ʃ	kaɣel	Regular	C	E-Class	-el	To bellow, to low, to roar.	Intransitive
226	parnal	20		par	niharnal	Regular	C	Inchoative	-nal	To lift, to raise up, to carry off, to remove.	Transitive
227	pasrel	2		pasr	kaɣel	Regular	C	E-Class	-el	To backbite, to slander, to blame.	Transitive
228	paragnal	20		parag	niharnal	Regular	C	Inchoative	-nal	To become thinner, to refine.	Intransitive
229	paragt͡snel	10	Basic	parag	modet͡snel	Regular	C	Causative	-t͡snel	To make thinner, smaller, finer.	Transitive
230	parpant͡ʃel	2		parpant͡ʃ	kaɣel	Regular	C	E-Class	-el	To trifle, to prate, to dote, to chat, to bawl.	Intransitive
231	parparil	4	Basic	parpar	xosil	Regular	C	I-Class	-il	To speak, to cry, to resound.	Intransitive
232	parkawad͡ʒil	4	Basic	parkawad͡ʒ	xosil	Regular	C	I-Class	-il	To prosper, to flourish.	Intransitive
233	partel	2		part	kaɣel	Regular	C	E-Class	-el	To accumulate, to heap up; to compose.	Transitive
234	parepanel	2		parepan	kaɣel	Regular	C	E-Class	-el	To wish well, to bless, to praise.	Transitive
235	parezartel	2		parezart	kaɣel	Regular	C	E-Class	-el	To embellish, to adorn, to set off, to beautify.	Transitive
236	parelawel	2		parelaw	kaɣel	Regular	C	E-Class	-el	To ameliorate, to improve, to better.	Transitive
237	parexarnel	2		parexarn	kaɣel	Regular	C	E-Class	-el	To temper, to modify, to allay.	Transitive
238	parexosel	2		parexos	kaɣel	Regular	C	E-Class	-el	To intercede, to mediate.	Intransitive
239	paregamanal	20		paregama	niharnal	Regular	C	Inchoative	-nal	To be, to become friend, to be familiar.	Intransitive
240	paregarkel	2		paregark	kaɣel	Regular	C	E-Class	-el	To reform, to put in order, to discipline.	Transitive
241	parehad͡ʒil	4	Basic	parehad͡ʒ	xosil	Regular	C	I-Class	-il	To deign, to condescend, to be pleased, to accept.	Intransitive
242	paremaɣtel	2		paremaɣt	kaɣel	Regular	C	E-Class	-el	To wish, to wish well.	Transitive
243	parenorokel	2		parenorok	kaɣel	Regular	C	E-Class	-el	To reform, to form again.	Intransitive
244	parewel	2		parew	kaɣel	Regular	C	E-Class	-el	To salute, to greet, to hail, to bow.	Transitive
245	parganal	20		parga	niharnal	Regular	C	Inchoative	-nal	To be angry, to be offended, to get into a passion.	Intransitive
246	pargat͡snel	10	Basic	parga	modet͡snel	Regular	C	Causative	-t͡snel	To exasperate, to anger, to offend, to vex, to irritate, to displease.	Transitive
247	part͡sel	2		part͡s	kaɣel	Regular	C	E-Class	-el		Transitive
